Before,After,Value
1589797136.568886518,1589797136.662605286,1
1589797156.662777424,1589797156.757277966,0
1589797176.758036852,1589797176.864864588,1
1589797196.865800619,1589797196.968759775,0
1589797216.969559908,1589797217.073609591,2
1589797237.074405193,1589797237.173047066,0
1589797257.173744202,1589797257.278263807,5
1589797277.278697252,1589797277.374663830,2
1589797297.374782801,1589797297.465231180,2
1589797317.465723991,1589797317.564687252,2
1589797337.564833641,1589797337.661341667,4
1589797357.661851406,1589797357.761185884,2
1589797377.762127876,1589797377.856720209,0
1589797397.857246876,1589797397.957940817,3
1589797417.958374500,1589797418.059610605,3
1589797438.060563803,1589797438.165845394,4
1589797458.165978670,1589797458.266004324,5
1589797478.266831636,1589797478.372988701,2
1589797498.373209715,1589797498.482629776,5
1589797518.483175993,1589797518.577711105,4
1589797538.577955246,1589797538.680799484,5
1589797558.680815697,1589797558.780002356,4
1589797578.780019522,1589797578.932543039,1
1589797598.932999372,1589797599.031018734,0
1589797619.031947374,1589797619.129646778,4
1589797639.130427361,1589797639.230677605,3
1589797659.231609106,1589797659.334741354,3
1589797679.334906340,1589797679.437951088,4
1589797699.438392401,1589797699.544102192,5
1589797719.544461489,1589797719.645835161,2
1589797739.645838022,1589797739.749185562,4
1589797759.749688625,1589797759.850178242,0
1589797779.850783587,1589797779.968402147,3
1589797799.968488455,1589797800.079397202,1
1589797820.079567432,1589797820.179083586,4
1589797840.179414511,1589797840.273726225,3
1589797860.274651289,1589797860.370827675,4
1589797880.371121407,1589797880.471652031,5
1589797900.472232819,1589797900.579638481,1
1589797920.580326080,1589797920.675014257,0
1589797940.675419807,1589797940.779317617,2
1589797960.780210972,1589797960.879634142,5
1589797980.879858971,1589797980.980306149,2
1589798000.980840683,1589798001.099957943,3
1589798021.100303650,1589798021.199253082,5
1589798041.200245619,1589798041.306199789,4
1589798061.307126760,1589798061.404978991,4
1589798081.405139685,1589798081.499701977,2
1589798101.500542402,1589798101.598585606,5
1589798121.598903894,1589798121.705487251,4
1589798141.705808163,1589798141.825006962,0
1589798161.825708389,1589798161.932734251,5
